"序号","物料编码","名称及规格","版本","件数","备注"
"18","1040002433","螺栓","A","2","GB/T5783-2000"
"19","00771600301001250","止动销","C","6",""
"20","00771402850001170","转向销轴","B","2",""
"21","02551702801000000","转向连杆","B","1",""
"22","00771402810001010","垫片","A","4",""
"23","00771402810001020","自润滑轴承","C","4",""
"24","00771402850001230","免润滑轴承","B","2",""
"25","02551702800600000","左转向节","C","1",""
"26","00771402850001050","销轴","A","2",""
"27","1040004565","螺栓","A","4","GB/T5783-2016"
"28","00771402820001030","销轴","C","2",""
"29","02551702800001020","盖板","A","2",""
"30","1040302490","垫圈","B","8","GB/T97.1-2002"
"31","1040004653","螺栓","A","8","GB/T5783-2000"
"32","00771402800001230","自润滑轴承","A","4",""
"33","00771402851400000","转向油缸","A","2",""
"34","00771402800001020","销轴","C","2",""
"35","02551702800800000","右转向节","C","1",""
"36","00771402850001210","固线环","A","2",""
"37","00771402840001260","支架","A","2",""
"38","1040302489","垫圈","B","16","GB/T97.1-2002"
"39","1040002434","螺栓","A","6","GB/T5783-2016"
"40","1040301515","垫圈","A","44","GB/T97.1-2002"
"41","1040200503","螺母","A","4","GB/T889.1-2000"
"42","02551702800001040","轴承挡板","A","4",""
"43","1040004517","螺栓","A","52","GB/T5783-2000"
