"序号","物料编码","名称及规格","版本","件数","备注"
"36","1140245628","胶管总成","A","1",""
"37","1140278654","胶管总成","A","1",""
"38","1140236873","胶管总成","A","1",""
"39","1140227902","胶管总成","A","1",""
"40","1140262149","胶管总成","A","1",""
"41","1140256097","胶管总成","A","1",""
"42","1140253181","胶管总成","A","1",""
"43","1140279478","胶管总成","A","1",""
"44","1140259754","胶管总成","A","1",""
"45","1140227120","胶管总成","A","1",""
"46","1140245656","胶管总成","A","1",""
"47","1140267383","胶管总成","A","1",""
"48","1140252170","胶管总成","A","1",""
"49","1140278655","胶管总成","A","1",""
"50","1140250198","胶管总成","A","1",""
"51","1140256896","胶管总成","A","1",""
"52","1140217162","胶管总成","A","1",""
"53","1140204239","胶管总成","A","1",""
"54","1140294796","胶管总成","A","1",""
"55","1140101426","对接接头","A","1",""
"56","1140101665","对接接头","A","1",""
"57","1140111308","对接接头","A","4",""
"58","1140101516","直通隔板接头","A","2",""
"59","1140101483","三通接头","A","2",""
"60","1140101425","对接接头","A","2",""
"61","1140101436","直通隔板接头","A","2",""
"62","1140101477","直角组合接头","A","4",""
"63","1140111291","三通接头","A","1",""
