"序号","物料编码","名称及规格","版本","件数","备注"
"1","1019901354","液位液温计","A","1","FSA-176-1.0/T/10"
"2","1140103362","端直通接头","A","1","GE28LREDOMDCF"
"3","1140101463","端直通接头","A","1","GE12LR1/2EDOMD
CF"
"4","1140101465","端直通接头","A","1","GE15LR3/8EDOMD
CF"
"5","00771405251620000","盖板总成","A","1",""
"6","1140111737","胶管接头","A","1","Q/ZLZK1010010-
2012"
"7","00771405201601010","盖板橡胶垫","A","1",""
"8","1140107803","接头","A","1","EV28LOMDCF"
"9","1149901683","端直通接头","A","1","GE42LREDOMDCF"
"10","1040301515","垫圈","A","16","GB/T97.1-2002"
"11","1140102812","端直通接头","A","1","GE18LREDOMDCF"
"12","1040004519","螺栓","A","2","GB/T5783-2000"
"13","1010500489","空气过滤器","A","1","EFB480H150-W"
"14","1040301510","垫圈","A","16","GB/T93-1987"
"15","1010601762","回油过滤器","A","1","EFRB5.2BDB-
08F10-00N /T300"
"16","1040004518","螺栓","A","14","GB/T5783-2000"
"17","1140101464","端直通接头","A","1","GE15LREDOMDCF"
"18","1140114950","端直通加长接头","A","1","GE28LREDOMDCF
-L80"
"19","1140107416","内六角油口端堵头","A","1","VSTI1/2EDCF"
"20","1019900975","堵头","A","1","VSTI1/4EDCF"
"21","1140101462","端直通接头","A","2","GE12LREDOMDCF"
"22","00771405201610000","油箱体","A","1",""
