"序号","物料编码","名称及规格","版本","件数","备注"
"91","00771400311121250","上压板","A","2",""
"92","00771400311121240","下防尘刷板","A","1",""
"93","00771400311121220","侧防尘刷板Ⅱ","A","1",""
"94","00771400311121270","侧压板Ⅱ","A","1",""
"95","00771400311121230","上防尘刷板","B","1",""
"96","00771400311121260","侧压板Ⅰ","A","1",""
"97","00771400311121210","侧防尘刷板Ⅰ","A","1",""
"98","1040300771","垫圈","A","10","GB/T97.1-2002"
"99","1040002555","螺栓","A","10","GB/T5783-2000"
"100","00773400300001140","调整垫片Ⅴ","B","6",""
"101","00771400301401041","调整垫片","A","2",""
"102","00773400300001130","调整垫片Ⅳ","B","4",""
"103","1040302489","垫圈","B","22","GB/T97.1-2002"
"104","00771100301310000","滑块","B","2",""
"105","1040002434","螺栓","A","6","GB/T5783-2016"
"106","00771100301300000","滑块","B","2",""
"107","00771400301401080","调整垫片Ⅳ","A","4",""
"108","00771100301320000","滑块","B","4",""
"109","1040002433","螺栓","A","8","GB/T5783-2000"
"143","1040000574","螺栓","A","4","GB/T5783-2000"
