"序号","物料编码","名称及规格","版本","件数","备注"
"66","NO-NUMBER","防尘圈","A","1",""
"67","NO-NUMBER(2)","轴封","A","1",""
"68","NO-NUMBER(3)","推力垫片","A","1",""
"69","NO-NUMBER(4)","壳体密封圈","A","3",""
"70","NO-NUMBER(5)","壳体","A","1",""
"71","NO-NUMBER(6)","推力轴承","A","1",""
"72","NO-NUMBER(7)","联动轴","A","1",""
"73","NO-NUMBER(8)","隔盘","A","1",""
"74","NO-NUMBER(9)","转定子付","A","1",""
"75","NO-NUMBER(10)","联动销轴","A","1",""
"76","NO-NUMBER(11)","后盖","A","1",""
"77","NO-NUMBER(12)","后盖堵头","A","1",""
"78","NO-NUMBER(13)","螺栓垫片","A","7",""
"79","NO-NUMBER(14)","螺栓","A","7",""
"80","NO-NUMBER(15)","轴","A","1",""
"81","NO-NUMBER(16)","轴键","A","1",""
