"序号","物料编码","名称及规格","版本","件数","备注"
"1","1140114403","直角组合接头","A","5","EV15LOMDCF"
"2","1140114187","测压接头","A","2","SD-M16×2-F-G1/4"""
"3","1140101521","端直通接头","A","1","GE12LR1/4EDOMD
CF"
"4","1140101464","端直通接头","A","7","GE15LREDOMDCF"
"5","1140101992","螺塞","A","1","VSTI1/2EDCF"
"6","1140101478","直角组合接头","A","4","EW15LOMDCF"
"7","1140101523","端直通接头","A","2","GE20SREDOMDCF"
"8","1140101534","直角组合接头","A","2","EW20SOMDCF"
"9","1140101820","端直通接头","A","1","GE15LR3/4EDOMD
CF"
"10","1140101477","直角组合接头","A","2","EW12LOMDCF"
"11","1019807528","行走控制阀","A","1","ST4663-A000"
