"序号","物料编码","名称及规格","版本","件数","备注"
"20","1040303579","垫圈","A","4","GB/T96.1-2002"
"21","1040202855","螺母","A","4","GB/T889.1-2000"
"22","1040301515","垫圈","A","4","GB/T97.1-2002"
"23","1040002738","螺栓","A","4","GB/T5783-2000"
"24","00771100110230400","挡块","B","1",""
"25","00771100110230200","挡块II","B","1",""
"26","1040103112","螺钉","A","4","GB/T70.1-2000"
"27","1040200503","螺母","A","2","GB/T889.1-2000"
"28","1040302480","垫圈","B","4","GB/T96.1-2002"
"29","00771100110232000","防护罩","B","1",""
"30","00773400100261060","螺栓","A","2",""
