"序号","物料编码","名称及规格","版本","件数","备注"
"7","1040004499","螺栓","A","1","GB/T5783-2000"
"8","00773400400001170","止动销","E","1",""
"9","00771402850001030","销轴","B","1",""
"10","00771402800001070","垫片","A","1",""
"11","00771402800001130","自润滑轴承","A","2",""
"12","02551702810400000","前桥焊件","B","1",""
"13","1040102737","螺钉","A","4","GB/T70.1-2000"
"14","00771402820001120","块","A","2",""
"15","00771402801210000","分体式浮动油缸","B","2",""
"16","1040301511","垫圈","A","8","GB/T97.1-2002"
"17","1040005848","螺栓","A","8","GB/T5783-2000"
