"序号","物料编码","名称及规格","版本","件数","备注"
"1","02551707101001060","排气尾管","A","1",""
"2","02551707111001020","排气尾管Ⅱ","A","1",""
"3","02551707111001011","排气管Ⅱ","A","1",""
"4","00773407151001060","密封垫片","A","2",""
"5","1040004520","螺栓","A","4","GB/T5783-2000"
"6","1040302480(2)","垫圈","B","8","GB/T96.1-2002"
"7","00771407201010000","支架","A","1",""
"8","1040002434","螺栓","A","7","GB/T5783-2016"
"9","1040302489","垫圈","B","7","GB/T97.1-2002"
"10","00771407201001060","密封垫Ⅰ","A","1",""
"11","00771407201001010","排气管Ⅰ","A","1",""
"12","1040004619","螺栓","A","8","GB/T5783-2000"
"13","1040301515","垫圈","A","12","GB/T97.1-2002"
"14","1040200398","螺母","A","12","GB/T6177.1-2000"
"15","00771407181001020","消声器","A","1",""
"16","1040200503","螺母","A","4","GB/T889.1-2000"
"17","1040004519","螺栓","A","4","GB/T5783-2000"
