"序号","物料编码","名称及规格","版本","件数","备注"
"10","00773407000201272","禁止水冲","A","3",""
"21","02551507030201120","黄色箭头","A","3",""
"22","02551507030201110","蓝色箭头","A","3",""
"26","02551707020401062","ZT26JS-V转台标贴总成","A","1",""
"27","02551707000401082","柴油箱","A","1",""
"28","00771407010401202","欧V燃油添加标识","A","1",""
"30","00773407000401512","低温启动","A","1",""
"31","00773407000401082","地面指示灯说明","A","1",""
"43","02551507030401112","燃油箱安全标识","A","1",""
"44","00775407000201110","液位标识","A","1",""
"45","00771407000401162","液压油箱","A","1",""
"46","02551707020401052","ZT26JS-V臂架型号标识","A","1",""
"47","00771407000201100","黄色三角形","A","2",""
"48","00771407000201110","蓝色三角形","A","2",""
"51","00771407000401212","高温警告标识","A","1",""
"52","00771407000401352","欧五仪表指示灯注意事项","A","1",""
"53","02551507010201052","再生高温警示标贴","A","1",""
"54","00771407000401192","二维码","A","1",""
"55","00772707000201252","噪声标识-100dB","A","1",""
