"序号","物料编码","名称及规格","版本","件数","备注"
"1","02551701121800000","左机罩","A","1",""
"3","1040004519","螺栓","A","10","GB/T5783-2000"
"4","1040302480","垫圈","B","78","GB/T96.1-2002"
"5","1040004678","门碰螺栓","A","4","M10×70"
"6","1040200504","螺母","A","8","GB/T889.1-2000"
"7","02551501100001090","安装支架","A","1",""
"8","02551701120001100","门碰安装支架","B","2",""
"9","1040201089","螺母","A","32","GB/T6170-2000"
"10","1040301510","垫圈","A","28","GB/T93-1987"
"11","1040004520","螺栓","A","28","GB/T5783-2000"
"12","1040004518","螺栓","A","8","GB/T5783-2000"
"13","00771401141000001","合页","B","4",""
"14","1040100105","螺钉","B","8","GB/T70.1-2000"
"15","00771401112801030","圆钢","A","2",""
"16","1040302512","垫圈","A","8","GB/T96.1-2002"
"17","1040303579","垫圈","A","14","GB/T96.1-2002"
"18","1109900765","液压门锁","A","2","50075-C37K"
