"序号","物料编码","名称及规格","版本","件数","备注"
"31","02555400100401020","螺栓","A","8","QC/T340-1999"
"32","1040301511","垫圈","A","3","GB/T97.1-2002"
"33","02564400100401020","轴","B","4",""
"34","00773400130401040","垫块I","A","8",""
"35","1080000005","油杯","A","8","JB/T7940.1-1995"
"36","1040004646","螺栓","A","4","GB/T5783-2000"
"37","00773400100401030","调整垫","A","2",""
"38","1040301515","垫圈","A","7","GB/T97.1-2002"
"39","1040200503","螺母","A","4","GB/T889.1-2000"
"40","1040302490","垫圈","B","4","GB/T97.1-2002"
"41","1040103112","螺钉","A","7","GB/T70.1-2000"
"42","02555400100420000","托架焊件","A","1",""
"43","1054600077","滚针轴承","A","8","GB/T5801-2006"
"44","02564400100401031","卡轴板","A","4",""
"45","02564400100401010","连杆","B","2",""
"46","1040001703","螺栓","B","2","GB/T5782-2000"
"47","00773400100401040","垫块","A","1",""
"48","00773400130401060","垫块III","C","2",""
"49","1040006458","加强半圆头方径螺栓","A","1","GB/T794-1993"
"50","02555300100410000","过渡座","A","1",""
"51","1040201381","螺母","A","1","GB/T6170-2000"
"52","1040007563","螺栓","B","1",""
"53","1040201111","螺母","A","1","GB/T889-1986"
