"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040301515","垫圈","A","32","GB/T97.1-2002"
"3","1040007538","螺栓","A","4","GB/T5782-2000"
"4","1040202855","螺母","A","17","GB/T889.1-2000"
"5","1040301510","垫圈","A","6","GB/T93-1987"
"6","1040006427","螺栓","A","4","GB/T5782-2016"
"7","02551700711200000","钢拖链","B","1",""
"9","1040302489","垫圈","B","23","GB/T97.1-2002"
"10","1040104023","螺钉","A","20","GB/T70.1-2000"
"11","1040303580","垫圈","A","20","GB/T96.1-2002"
"17","02551700710200002","钢拖管","A","1",""
"18","1040103567","螺钉","A","4","GB/T70.2-2000"
"19","02551500710001040","压板","A","4",""
"20","02551500710001080","管线夹I","B","4",""
"21","02551500710001060","管线夹II","B","4",""
"22","02551500710001070","管线夹III","B","4",""
"25","1040103189","螺钉","A","8","GB/T70.2-2000"
"33","02551700710400001","线槽下盖","A","1",""
"34","1040004032","螺栓","A","15","GB/T5783-2000"
"35","02551700711400001","线槽上盖","A","1",""
"36","02551700710800001","尾部支架","B","1",""
"37","02551500710001030","防撞滑块","A","1",""
