"序号","物料编码","名称及规格","版本","件数","备注"
"1","02551707110401030","燃油管Ⅲ","A","1",""
"2","1990202279","涡轮涡杆卡箍","A","8","SX9/W4/12-20"
"3","1990200692","涂塑胶条","B","7",""
"4","1040005844","螺栓","A","7","GB/T5783-2000"
"5","1040300771","垫圈","A","7","GB/T97.1-2002"
"6","02551707110401040","燃油管Ⅳ","A","1",""
"7","02551707110401010","燃油管Ⅰ","A","1",""
"8","00773607100401010","燃油箱总成","C","1",""
"9","1040302512","垫圈","A","4","GB/T96.1-2002"
"10","1040002434","螺栓","A","4","GB/T5783-2016"
"11","00771407200401020","燃油管Ⅱ","B","1",""
"12","1040200503","螺母","A","8","GB/T889.1-2000"
"13","1040302480","垫圈","B","8","GB/T96.1-2002"
"14","1040002458","螺栓","A","4","GB/T5783-2000"
"15","00771407200401050","弯板Ⅰ","B","1",""
"16","1040004518","螺栓","A","3","GB/T5783-2000"
"17","1040301515","垫圈","A","3","GB/T97.1-2002"
"18","1029902994","扎带","A","5",""
"19","1000401596","燃油滤清器","A","1",""
"20","1000401595","燃油水寒宝","A","1",""
