"序号","物料编码","名称及规格","版本","件数","备注"
"1","02551700860200000","转台焊件","A","1",""
"8","1040301515","垫圈","A","16","GB/T97.1-2002"
"31","1040302480","垫圈","B","7","GB/T96.1-2002"
"32","02551501120001080","封板连接板","A","7",""
"33","1040004519","螺栓","A","11","GB/T5783-2000"
"44","1040302489","垫圈","B","26","GB/T97.1-2002"
"62","1040004033","螺栓","A","2","GB/T5783-2000"
"63","02551700860001050","主阀支架","A","1",""
"64","02551500820001230","压板","A","2",""
"65","02551700860001020","液压管夹Ⅰ","A","2",""
"66","02551700860001040","液压管夹Ⅲ","A","2",""
"67","02551700860001030","液压管夹Ⅱ","A","2",""
"68","1040007303","螺栓","A","6","GB/T5782-2016"
"69","1040201882","螺母","A","1","GB/T6172-2000"
"70","1040002450","螺栓","A","1","GB/T5783-2000"
