"№ п/п","Код материалов","Наименование и
спецификация","Кол-во","Примечание"
"1","1040004511","Болт M12×30-8,8","4","JB/T5783-2000"
"2","1040300054","Шайба 12","4","JB/T93-1987"
"3","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"4","1149901683","Прямой соединитель","1","GE42LREDOMDCF"
"5","1140103362","Прямой соединитель","3","GE28LREDOMDCF"
"6","1140105928","Прямой соединитель","2","GE22LR1/2EDOMDCF"
"7","1140101629","Резьбовая заглушка","1","VSTI3/8EDCF"
"8","1140101462","Прямой соединитель","2","GE12LREDOMDCF"
"9","1140111237","Прямой соединитель","1","GE08LREDOMDCF"
"10","1140101992","Резьбовая заглушка","3","VSTI1/2EDCF"
"11","1019901354","Уровнемер-термометр","1","FSA-176-1.0/T/10"
"12","007716052016000000","Корпус масляного бака","1",""
"13","00771405201601010","Каучуковая прокладка
крышки","1",""
"14","00771405201620000","Крышка в сборе","1",""
"15","1040301510","Шайба 8","16","JB/T93-1987"
"16","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"17","1040004518","Болт M8×20-8,8","12","JB/T5783-2000"
"18","1140101737","Прямоугольный
композитный штуцер","1","EW28LOMDCF"
"19","1010500340","Воздушный фильтр
масляного бака","1","BFP30G3W1.0"
"20","1040004519","Болт M8×25-8,8","4","JB/T5783-2000"
"21","1010601139","Обратный масляный фильтр","1","RFMON185B
D10A1.0/-V300"
