"№ п/п","Код материалов","Наименование и
спецификация","Кол-во","Примечание"
"1","1140102959","Тройной композитный
штуцер","3","EL08LOMDCF"
"2","1140107801","Комбинированное
соединение 45°","2","EV08LOMDCF"
"3","1149900295","Тройной композитный
штуцер","2","ET08LOMDCF"
"4","1140111237","Прямой соединитель","5","GE08LREDOMDCF"
"5","1010306670","Клапан ходового
управления","1","R988111242"
"6","1040301515","Шайба","4","8-200HV"
"7","1040301510","Шайба","4","8"
"8","1040004518","Болт","4","M8×20-8.8"
