"№ п/п","Код материалов","Наименование и
спецификация","Кол-во","Примечание"
"1","1010601137","Фильтр высокого
давления","1","MFMON95OH 5A4.0/-B7"
"2","1140101523","Прямой соединитель","1","GE20SREDOMDCF"
"3","1140101534","Прямоугольный
композитный штуцер","2","EW20SOMDCF"
"4","1040004518","Болт","4","JB/T5783-2000"
"5","1040301510","Шайба 8","4","JB/T93-1987"
"6","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"7","1010305956","Обратный клапан","1","RHV20SREDOMDCF"
