"№ п/п","Код материалов","Наименование и
спецификация","Кол-во","Примечание"
"1","1040301510","Шайба 8","4","JB/T93-1987"
"2","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"3","1040201089","Гайка M8-8","4","JB/T6170-2000"
"4","1040004519","Болт M8×25-8,8","4","JB/T5783-2000"
"5","1140105928","Прямой соединитель","2","GE22LR1/2EDOMDCF"
"6","1140108904","Прямоугольный
композитный штуцер","2","EW22LOMDCF"
"7","1010400306","Радиатор","1","M9115175"
