"№
 п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774001010001010  Блок противовеса","","1",""
"2","1109900921","Пластичная пробка M36","2",""
"3","1040302483","Шайба 24-200HV","12","GB/T96.1"
"4","1040004613","Болт M24×60-10.9","4","JB/T5782"
"5","1040005848","Болт M24×70-10.9","2","JB/T5783"
