"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774006200210000","Электрический шкаф управления 
платформой","1",""
"2","00773406200210000","Электрический шкаф управления 
платформой","0",""
"3","1020521022","Педальный переключатель","1",""
"4","/","Клапан повышения при 
выравнивании","/",""
"5","/","Клапан опускания при выравнивании","/",""
"6","/","Клапан правого качания платформы","/",""
"7","/","Клапан левого качания платформы","/",""
"8","/","Клапан подъема маховой стрелы","/",""
"9","/","Клапан опускания телескопической 
стрелы","/",""
"10","1021404016","Датчик веса","1",""
"11","/","Кабель буксирной цепи основной 
стрелы","/",""
