"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1010101004","Поворотный мотор","1",""
"2","1040302490","Шайба 12-200HV","2","JB/T97.1"
"3","1040004029","Болт M12×35-10,9","2","JB/T5783"
