"№
 п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"31","1159901036","Пружинная петля","2",""
"32","1040300514","Шайба 5-200HV","12","JB/T97.1"
"33","1029904911","Пружинящая шайба","12","GB93-304"
"34","1040004672","Болт M5×10-8,8","12","JB/T5783"
"35","1040001640","Болт M6×25-A2-70","2","JB/T5783"
"36","1040300771","Шайба 6-200HV","2","JB/T97.1"
"37","00774000101000000","Сварной элемент кронштейна 
фильтра","1",""
"38","1040201896","Гайка M6-8","2","JB/T889.1"
"39","00774000100810001","Переходный держатель","1",""
"40","1040004619","Болт M8×35-8,8","4","JB/T5783"
"41","1040301515","Шайба 8-200HV","24","JB/T97.1"
"42","00773400100401020","Прижимная планка","2",""
"43","1040004654","Болт M16×1,5×40-10,9","8","JB/T5787"
"44","1021404016","Датчик веса","1",""
"45","00774000100400000","Защитная крышка 
гидровлического клапана 
платформы","1",""
"46","1040004505","Болт M24×280-10,9","1","JB/T5782"
"47","1040004033","Болт M10×25-10.9","8","JB/T5783"
"48","1040301511","Шайба 24-200HV","1","JB/T97.1"
"49","1040201111","Гайка M24 -10","1","JB/T889"
"50","00774000100600000","Сварной элемент кронштейна 
гидравлического клапана","1",""
"51","1040004556","Болт M12×35-8,8","10","JB/T16674.1"
"52","1040302490","Шайба 12-200HV","2","JB/T97.1"
"53","1040201089","Гайка M8-8","6","JB/T6170"
"54","1040004570","Болт M16×30-8,8","4","JB/T5783"
"55","1040302513","Шайба 16-200HV","4",""
"56","00773400110401010","Анкерная плита Ⅱ","2","JB/T96.1"
"57","00773700100420000","Сварная деталь кронштейна","1",""
"58","1040301510","Шайба 8","6","JB/T93"
"59","00773400100401040","Вкладыш","2",""
"60","1040103118","Винт","6","JB/T70.1"
