"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"27","1029906298","Левой  концевой  выключатель  втягивания 
башенной стрелы","1",""
"28","1021404019","Датчик наклона кузова","1",""
"29","1029906298","Концевой  выключатель  угла  поворотной 
платформы","1",""
"30","00774006200230020  Пучок кабелей ECU","","1",""
"31","/","Болт металлизации","0",""
"32","/","Водомаслоотделитель","0",""
"33","1020903397","Положительный полюс аккумулятора","1",""
"34","1029906298","","1",""
