"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774000200400000  Верхний шатун","","1",""
"2","00771400211200000  Подвижный трубный хомут","","2",""
"3","1040301515","Шайба 8-200HV","10","JB/T97.1"
"4","1040004590","Болт M8×-8,8","4","JB/T5783"
"5","1040004522","Болт M8×-8,8","4","JB/T5783"
"6","00774000200001300  Плита трубопровода","","2",""
"7","00773700200001100","Зажимная планка трубопровода","2",""
"8","1040103262","Винт M8×-8,8","8","JB/T70.3"
"9","00774000200001401  Щиток трубы","","1",""
"10","1040002433","Болт M8×-8,8","8","JB/T5783"
"11","00773400300001200  Стопорный штифт","","8",""
"12","00773700200001050  Штифт","","2",""
"13","00774000200001010","Распорная втулка качающегося цилиндра","1",""
"14","00773400200001020  Подшипник","","2",""
"15","00773400200001010  Подшипник","","10",""
"16","00774000200200000  Опора","","1",""
"17","00774000200001600","Плата 
регулировки 
сенсорного 
переключателя хода","1",""
"18","1040300735","Шайба 6-200HV","2","JB/T96.1"
"19","1040102372","Винт 
с 
цилиндрической 
головкой 
и 
внутренней шестигранью","2","JB/T70.1"
"20","1040103110","Винт M8x1.25","2","JB/T70.1"
"21","00774000200001050","Регулировочная шайба","2",""
"22","1010201471","Качающийся цилиндр","1",""
"23","00774000200001030","Штифт 
выравнивающего 
цилиндра 
подпоры","1",""
"24","00773700200001060  Штифт","","2",""
"25","00774000200800000","Гидроцилиндр консоли","1",""
"26","00774000200001060","Защитный кожух датчика","1",""
"27","1021404015","Датчик угла наклона","1",""
"28","00774000200001020  Штырь цилиндра верхнего шатуна","","1",""
"29","00771100210001040  Подшипник, не требующий смазывания I","","2",""
"30","00774000200600000  Нижний шатун","","2",""
