"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004522","Болт M8×50-8,8","4","JB/T5783"
"2","1040301510","Шайба 8","4","JB/T93"
"3","1040301515","Шайба 8-200HV","4","JB/T97.1"
"4","1010307397","Балансировочный клапан 
цилиндра маховой стрелы","1",""
"5","1140114839","Шарнирное соединение","1",""
