"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040200503","Гайка","2","JB/T889.1"
"2","1040302480","Шайба 8-200HV","4","JB/T96.1"
"3","00773400100261050","Подшипник","2",""
"4","00773400100261060","Болт φ22","2",""
"5","00773400100260020","Защитный кожух","1",""
"6","1040005844","Болт M6×10-A2-70","4","JB/T5783"
"7","1040300771","Шайба 6-200HV","8","JB/T97.1"
"8","00773400100261030","Пластина II","1",""
"9","00773400100261080","Упорная планка","2",""
"10","00773406200210000","Электрический  шкаф  управления 
платформой в сборе","1",""
"11","1040006017","Винт M6×25-A2-70","4","JB/T70.1"
"12","00773400100261110","Упор","2",""
"13","1040201896","Гайка M6-8","4","JB/T889.1"
"14","1040201902","Гайка M6-6","12","JB/T802"
"15","1040300771","Шайба 6-200HV","14","JB/T97.1"
"16","1040300735","Шайба 6-200HV","10","JB/T96.1"
"17","1040102773","Винт    M6×40-8.8","6","JB/T70.1"
"18","1040102774","Винт    M6×15-8.8","6","JB/T70.1"
"19","00773400100201010","Упорная планка I","1",""
"20","1999904986","Коробка для файлов","1",""
"21","1040200504","Гайка M10-8","4","JB/T889.1"
"22","1040302512","Шайба 10-200HV","8","JB/T96.1"
"23","00773406300201030","Каучуковая прокладка","2",""
"24","1040004508","Болт M10×45-8.8","4","JB/T5783"
"25","00771600100210000","Свариваемые изделия платформы","1",""
"26","1040004522","Болт M8×50-8.8","1","JB/T5783"
"27","1040301515","Шайба 8-200HV","2","JB/T97.1"
"28","00775600101801010","Личинка замка","1",""
"29","1040201880","Гайка M8-6","1","JB/T802"
"30","00775600101801020","Пружина","1",""
