"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1010400306","Радиатор","1",""
"2","1140111485","Прямой соединитель","2",""
"3","1140101488","Тройной композитный штуцер","1",""
"4","1140101479","Прямоугольный композитный 
штуцер","2",""
"5","1040301515","Шайба 8-200HV","4","JB/T97.1"
"6","1040004590","Болт M8×14-8,8","4","JB/T5783"
