"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140107416","Заглушка с внутренней 
шестигранной головкой","1",""
"2","1040002436","Болт M12×25-8,8","4","JB/T5783"
"3","1040301503","Шайба 12","4","JB/T93"
"4","1149901683","Прямой соединитель","1",""
"5","1140111518","Прямой соединитель","2",""
"6","1140101629","Резьбовая заглушка","3",""
"7","1140101463","Прямой соединитель","2",""
"8","1140111485","Прямой соединитель","1",""
"9","1140101461","Прямой соединитель","1",""
"10","00774005200420000  Гидравлический бак","","1",""
"11","00771405201601010  Каучуковая прокладка крышки","","1",""
"12","00771405201620000  Крышка в сборе","","1",""
"13","1040301510","Шайба 8","16","JB/T93"
"14","1040301515","Шайба 8-200HV","16","JB/T97.1"
"15","1040004518","Болт M8×20-8,8","14","JB/T5783"
"16","1010500340-","Воздушный фильтр масляного бака","1",""
"17","1040004519","Болт M8×25-8,8","2","JB/T5783"
"18","1010601139","Обратный масляный фильтр","1",""
"19","1019901354","Уровнемер-термометр","1",""
