"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774001100200000  Сварка левого капота","","1",""
"2","1040301515","Шайба 8-200HV","50","GB/T97.1"
"3","1040002458","Болт M8×40-8.8","12","JB/T5783"
"4","1040200113","Гайка M10-8","28","JB/T6170"
"5","1110100317","Газовая пружина 2065UF/1250N/K7/D7","8",""
"6","1040004519","Болт M8×25-8.8","16","JB/T5783"
"7","1040301510","Шайба 8","42","JB/T93-1987"
"8","1040004518","Болт M8×20-8.8","18","JB/T5783"
"9","1040302480","Шайба 8-200HV","16","GB/T96.1"
"10","1040201089","Гайка M8-8","16","JB/T6170"
"11","1100700163","Дверная ручка","2",""
"12","00773601100001020  Регулировочная шайба","","6",""
"13","1101000166","Петля","6",""
"14","1040004678","Болт для ограничителя открывания двери 
M10×70","4",""
"15","1109900766","Дверной замок аккумулятора","1",""
"16","1040004590","Болт M8×14-8.8","4","JB/T5783"
"17","1040002435","Болт M10×35-8.8","4","JB/T5783"
"18","00774001100600000  Держатель левого шарнира замка","","1",""
"19","1040302512","Шайба 10-200HV","8","GB/T96.1"
"20","00774001100001010  Держатель левого замка","","1",""
"21","1040100105","Винт    M6×25-8.8","14","GB/T70.1"
"22","1040300771","Шайба 6-200HV","6","GB/T97.1"
"23","00774000801000000  Кронштейн останова двери II","","1",""
"24","00774000800800000  Кронштейн останова двери I","","1",""
"25","00774001100001020  Правая шарнира замка","","1",""
"26","00774001100800000  Держатель правого шарнира замка","","1",""
"27","1109900765","Гидравлический дверной замок","1",""
"28","00774001100400000  Сварка правого капота","","1",""
