"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140101464","Прямой соединитель","2",""
"2","00771405200601010","Блок возврата масла","1",""
"3","1140114040","Прямой соединитель","2",""
"4","1140101629","Резьбовая заглушка","2",""
"5","1040301515","Шайба 8-200HV","4","JB/T97.1"
"6","1040301510","Шайба 8","4","JB/T93"
"7","1040004519","Болт M8×25-8,8","4","JB/T5783"
