"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"33","00774000300001131  Задняя крышка","","1",""
"34","00771400301201030  Подшипник, не требующий смазки II","","2",""
"35","1040005844","Болт M6×10-A2-70","18","JB/T5783"
"36","1040300771","Шайба 6-200HV","20","JB/T97.1"
"37","00773700300001210  Панель заглушки основной стрелы","","2",""
"38","1040102774","Винт M6×15-8.8","2","JB/T70.1"
"39","00774000300001140  Регулирующий щиток путевого выключателя","","1",""
"40","1040004570","Болт M16×30-8,8","1","JB/T5783"
"41","00773400400001250  Стопорный штифт","","1",""
"42","00774000300001010  Шкворень I","","1",""
"43","00771400711800000  Подвижный трубный хомут","","2",""
"44","00774000300001030  Подшипник","","2",""
"45","00774000300600000","Гидроцилиндр 
изменения 
вылета 
верхней 
стрелы","1",""
"46","00774000300200000  Основная стрела","","1",""
"47","00774000300001070  Подшипник","","2",""
"48","00774000300001020","Верхний  палец  цилиндра  изменения  вылета 
основной стрелы","1",""
"49","1040004498","Болт M16×40-8,8","1","JB/T5783"
"50","00773400400001170  Стопорный штифт","","1",""
"51","1040004519","Болт M12×30-8,8","2","JB/T5783"
"52","00774000300801060  Упорная труба II","","2",""
"53","00774000300801021  Малый каток","","2",""
"54","1040101495","Винт M12×55-8.8","2",""
"55","00774000300801030  Держатель катка","","1",""
"56","00773700400001520  Стержень болта IM12×240","","1",""
"57","1040302490","Шайба 12-200HV","7","JB/T97.1"
"58","00774000300801040  Упорная труба I","","1",""
"59","00774000300801011  Большой каток","","1",""
"60","00774000300801050  Прокладочное кольцо","","2",""
"61","1040200507","Гайка M12-8","3","JB/T889.1"
"62","1040200503","Гайка M8-8","9","JB/T889.1"
"63","00771400300001051  Капот датчика","","1",""
"64","1040302410","Шайба 4-200HV","4","JB/T97.1"
"65","1040004591","Болт M3×8-8.8","4","JB/T5783"
