"№
 п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1010101004","Поворотный мотор","1",""
"2","1040302490","Шайба 12-200HV","2","GB/T97.1"
"3","1040004029","Болт M12×35-10.9","2","JB/T5783"
"4","1040005853","Болт M20×140-10.9","40","JB/T1228"
"5","1040302502","Шайба 20","45","JB/T1230"
"6","00771400900001010  Фиксирующий штифт","","1",""
"7","1040004501","Болт M20×60-10.9","5","JB/T5783"
"8","1030202201","Поворотный редуктор","1",""
"9","1031500350","Поворотная опора","1",""
