"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004519","Болт M8x1.25","4","JB/T5783"
"2","00774000700401160","Соединительная плита","1",""
"3","00774000700410000","Соединительная тарелка I","1",""
"4","1040301515","Шайба 8-200HV","34","GB/T97.1"
"5","1040004518","Болт M8×20-8,8","12","JB/T5783"
"6","00774000700401030","Трубный зажим II","2",""
"7","00774000700401150","Перегородка","2",""
"8","00774000700401020","Трубный зажим I","2",""
"9","00774000700401090","Прижимная 
пластина 
трубного 
хомута I","2",""
"10","1040200503","Гайка M8-8","10","GB/T889.1"
"11","1040103076","Винт M8×16-8.8","8","GB/T70.3-2008"
"12","00774000700401070","Направляющий блок","2",""
"13","00774000700401080","Прижимная планка","1",""
"14","1040102738","Винт M8×55-8.8","6","GB/T70.1"
"15","1040004675","Болт M8×85-8,8","6","JB/T5782"
"16","00774000700440000","Соединительная тарелка II","1",""
"17","00774000700401060","Подкладка","2",""
"18","1040004670","Болт M5×60-8,8","4","JB/T5782"
"19","1040300514","Шайба 5-200HV","12","GB/T97.1"
"20","00773400700001060","Верхняя труба","8",""
"21","1040002458","Болт M8×40-8,8","6","JB/T5783"
"22","00774000700401110","Прижимная 
пластина 
трубного 
хомута II","2",""
"23","00774000700401100","Трубный зажим III","2",""
"24","1040103111","Винт M8×16-8.8","2","GB/T70.1"
"25","00774000700401140","Отбойный упор","1",""
"26","1040103109","Винт M6×70-A2-70","4","GB/T70.1"
"27","00774000700430000","Соединительная рама","1",""
"28","1040201904","Гайка M5 -8","4","GB/T889.1-2015"
"29","00774000700401120","Алюминиевая труба","1",""
