"№
 п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"33","1040100087","Винт    M12×25-8.8","8","GB/T70.1"
"34","00774001000001030  Защитная планка I","","2",""
"35","00771400800001170  Кожух шестерни","","1",""
"36","00774000800200000  Сварка поворотного стола","","1",""
