"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140112827","Прямой соединитель","1",""
"2","1140103405","Прямой соединитель","1",""
"3","1010001911","Аварийный насос","1",""
"4","1040302489","Шайба 10-200HV","4","JB/T97.1"
"5","1040301502","Шайба 10","4","JB/T93"
"6","1040002434","Болт M10×25-8.8","4","JB/T5783"
