"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040000574","Болт M10×30-10.9","4","JB/T5783"
"2","1140101874","Прямой соединитель","1",""
"3","1140103421","Прямой соединитель","1",""
"4","1040302490","Шайба 12-200HV","4","JB/T97.1"
"5","1040004029","Болт M12x35-10.9","4","JB/T5783"
"6","1010002207","Открытый насос","1",""
"7","1081003124","О-образное кольцо","1",""
"8","1140101630","Разъемный фланец SAE","1",""
"9","1140101564","Разъемный фланец SAE","1",""
"10","1081004931","О-образное кольцо","1",""
