"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","00774006200220000","Электрический шкаф управления 
поворотной платформой 1","1",""
"2","/","Электрический шкаф управления 
поворотной платформой 2","/",""
"3","/","Реле насоса вспомогательной силовой 
установки","/",""
"4","/","Радиатор","/",""
"5","/","Селекторный клапан","/",""
"6","1020404399","Лампа предупреждения работы","1",""
"7","/","Клапан поворота вправо передних колес","/",""
"8","/","Клапан поворота влево передних колес","/",""
"9","/","Клапан поворота влево поворотной 
платформы","/",""
"10","/","Клапан поворота вправо поворотной 
платформы","/",""
"11","/","К клапану платформы","/",""
"12","/","Клапан выдвижения основной стрелы","/",""
"13","/","Клапан втягивания основной стрелы","/",""
"14","/","Клапан подъема основной стрелы","/",""
"15","/","Клапан опускания основной стрелы","/",""
"16","/","Телескопический клапан башенной стрелы","/",""
"17","/","Клапан втягивания башенной стрелы","/",""
"18","/","Электромагнитный разгрузочный клапан","/",""
"19","/","Плавающий клапан управления","/",""
"20","/","Двухскоростный клапан","/",""
"21","/","Тормозной клапан","/",""
"22","1020304982","Аварийный зуммер","1",""
"23","/","Уровень топлива","/",""
"24","1029906298","Правый концевой выключатель верхнего 
предела башенной стрелы","1",""
"25","1020520559","Концевой выключатель убирания основной 
стрелы","1",""
"26","1029906298","Правой концевой выключатель втягивания 
башенной стрелы","1",""
