"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","/","Верхняя вставка кабеля буксирной 
цепи башенной стрелы","/",""
"2","1029906298","Концевой выключатель контроля 
полного втягивания основной стрелы 1","1",""
"3","1021404018","Двухугольный датчик угла наклона","1",""
"4","1029906298","Концевой выключатель контроля 
полного втягивания основной стрелы 2","1",""
"5","1029906298","Концевой выключатель контроля 
полного выдвижения основной стрелы","1",""
"6","/","Нижняя вставка кабеля буксирной 
цепи башенной стрелы","/",""
