"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140101462","Прямой соединитель","2",""
"2","1140101461","Прямой соединитель","4",""
"3","1140112237","Прямой соединитель","2",""
"4","1040100069","Винт M8×20-8.8","4",""
"5","1040301515","Шайба 8-200HV","4","JB/T97.1"
"6","1040301510","Шайба 8","4","JB/T93"
"7","1010307141","Клапан управления платформой","1",""
