"Item","Part Number","Description","Qty.","Remark"
"1","93303714","Rubber Mounting","2",""
"2","93000295","Shim","8",""
"3","93200345","Seal","1",""
"4","93000015","Spring Washer Ф8.2","9",""
"5","00001063","Bolt  GB/T 5783  M8 × 16","7",""
"6","00000993","Bolt  GB/T 5783  M8 × 25","1",""
"7","50010432","Baffle","1",""
"8","00001163","Nut  GB/T 6182  M8","3",""
"9","00002058","Screw  GB/T 70  M10 × 45","4",""
"10","00000615","Flat Washer  GB/T 97.1  10","4",""
"11","92100189","Boom Pad","1",""
"12","00002560","Screw  GB/T 70  M8 × 30","2",""
"13","93305785","Spring Washer Ф8.2","4",""
"14","00004438","Alarm","1",""
"15","50011821","Housing","1",""
"16","00000818","Bolt  GB/T 5783  M6 × 16","12",""
"17","00000621","Spring Washer  GB/T 93  6","12",""
"18","00000620","Flat Washer  GB/T 97.1  6","12",""
