"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-
во 
шту
к","Примечание"
"1","1140101809","Стыковое прямое 
переходное 
соединение","1",""
"2","1010302829","Обратный клапан","1",""
"3","1010002076","Шестеренчатый 
насос","1",""
"4","1040301502","Шайба 10-200HV","2","GB/T93"
"5","1040101492","Винт M10×25-8.8","2","GB/T70.1"
"6","1140101737","Прямоугольный 
композитный 
штуцер","1",""
"7","1140102940","Прямой 
соединитель","1",""
