"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечани
е"
"1","1040005845","Болт M10×65-8.8","4","GB/T5783"
"2","1040302489","Шайба 10-200HV","16","GB/T97.1"
"3","00773700801600000","Крепежный кронштейн 
центрального поворотного тела","1",""
"4","00773700800001090","Перегородка","1",""
"5","1040200113","Гайка M10-8","4","GB/T889.1"
